,Unnamed: 0,sample,z,log_l,log_flux
20276,20276,37,0.1620941938140083,43.86084266241951,36.98137706908731
20277,20277,37,0.1555371159587937,43.793203010632546,36.95312256573863
20278,20278,37,0.1662172048896357,43.18533613996813,36.28185743820517
20279,20279,37,0.1366110048766968,43.08921663479718,36.37216867557618
20280,20280,37,0.1207647333932614,43.23428588797185,36.63319454473746
20281,20281,37,0.169595093481716,43.16931622243963,36.246572949225346
20282,20282,37,0.1952769817479733,44.14920117793235,37.090640251545
20283,20283,37,0.1241426219853417,43.15418630032939,36.52722706754275
20284,20284,37,0.1799274585869027,43.10078657523442,36.12125093516959
20285,20285,37,0.1581698820673268,43.94717221798971,37.09109579948925
20286,20286,37,0.1437145058865127,43.04560685930295,36.2806179454563
20287,20287,37,0.1901604740276165,43.15062631865639,36.11774802010399
20288,20288,37,0.1598588263633669,43.28145564513907,36.415247587127105
20289,20289,37,0.1706382649586819,43.42830488915025,36.49968422343619
20290,20290,37,0.1586169555574551,43.19601608498712,36.337248004721864
20291,20291,37,0.1153998515117222,43.331295388561045,36.77272008487619
20292,20292,37,0.1715324119389385,43.111466520253416,36.17783456845757
20293,20293,37,0.1563815881068137,43.406944999112255,36.5617064980048
20294,20294,37,0.1162939984919787,43.25653577342809,36.690747055982776
20295,20295,37,0.1716317616034114,43.81456290067053,36.88037563636508
20296,20296,37,0.1021863461368199,43.262765741355835,36.817416806440555
20297,20297,37,0.1336801897747448,43.28590562223032,36.58931989272288
20298,20298,37,0.1852923404684419,43.425634902895496,36.417792927136134
20299,20299,37,0.1077499273473051,43.066076753922694,36.5714616562128
20300,20300,37,0.1755560733500929,43.08565665312418,36.12976962619028
20301,20301,37,0.1963201532249393,43.695303514625095,36.63158277204921
20302,20302,37,0.1288120562155703,43.15863627742064,36.49698542951919
20303,20303,37,0.1562325636101043,43.53421434392194,36.68988420121651
20304,20304,37,0.1699924921396078,43.0518368272307,36.12685060135091
20305,20305,37,0.1593124032087657,43.75493320764782,36.89199209296763
20306,20306,37,0.1735690800606339,44.45001962930069,37.505062953486046
20307,20307,37,0.1549906928041924,43.2298359108806,36.3931069408876
20308,20308,37,0.1256825417846724,43.33930534732529,36.70077196121685
20309,20309,37,0.1166913971498705,43.28501562681208,36.71603768196621
20310,20310,37,0.1827589240243817,43.93115230046122,36.93658128499031
20311,20311,37,0.137356127360244,43.00466707006347,36.28248233595245
20312,20312,37,0.1898127502019611,43.495054545518954,36.46394477529552
20313,20313,37,0.1826595743599088,43.494164550100706,36.5001174279536
20314,20314,37,0.1098859451334735,43.236955874226595,36.72406168684172
20315,20315,37,0.1327363679622518,43.12392645610891,36.434019680393334
20316,20316,37,0.1434661317253303,43.1363863919644,36.37303601565563
20317,20317,37,0.1715324119389385,43.713993418408336,36.78036146661249
20318,20318,37,0.1872793337579009,43.03492691428396,36.01679335574114
20319,20319,37,0.111823263590696,43.39626505409326,36.8670795651763
20320,20320,37,0.1386476729983923,43.18177615829513,36.450749083558385
20321,20321,37,0.1522585770311863,43.153296304911144,36.333491529975134
20322,20322,37,0.130451325679374,43.34019534274354,36.66664463804421
20323,20323,37,0.167508750527784,43.94272224089846,37.03183511691617
20324,20324,37,0.1617961448205895,43.45411475627948,36.57640697724732
20325,20325,37,0.1461485726660999,43.6917435329521,36.910835345739834
20326,20326,37,0.1651243585804332,43.43453485707799,36.53736669937561
20327,20327,37,0.1502219089094909,43.55201425228693,36.74501074392448
20328,20328,37,0.1489303632713425,43.27611567262958,36.47731411090001
20329,20329,37,0.1404856417911418,44.03884174606941,37.295363161822834
20330,20330,37,0.1671113518698923,43.33663536107054,36.42802208528283
20331,20331,37,0.158716305221928,43.38380511823777,36.52443984944479
20332,20332,37,0.1320905951431776,43.357995251108534,36.67268394919627
20333,20333,37,0.1028321189558941,43.188006126222874,36.73681055481025
20334,20334,37,0.1260302656103277,43.131046419454904,36.48991793434536
20335,20335,37,0.1086440743275616,43.03848689595696,36.53617886529996
20336,20336,37,0.1575737840804891,43.58049410567091,36.728017601106984
20337,20337,37,0.1357168578964403,43.16931622243963,36.458467091871086
20338,20338,37,0.1565306126035232,43.2422958467361,36.396149792496054
20339,20339,37,0.1474897931364848,44.01570186519492,37.22612722806676
20340,20340,37,0.1669126525409464,43.39893504034801,36.491460572291146
20341,20341,37,0.1812686790572875,43.0518368272307,36.06515205414243
20342,20342,37,0.1618954944850624,43.71221342757184,36.833919376222774
20343,20343,37,0.1121213125841148,43.1470663369834,36.615398131499795
20344,20344,37,0.1037262659361506,43.384695113656015,36.9254612241549
20345,20345,37,0.1342762877615825,43.34375532441654,36.642974010915566
20346,20346,37,0.1569776860936514,43.13549639654615,36.286632499489514
20347,20347,37,0.1090414729854534,43.061626776831446,36.55591881559333
20348,20348,37,0.1473407686397753,43.118586483599415,36.329971147175854
20349,20349,37,0.1923958414782578,43.0518368272307,36.007660324369624
20350,20350,37,0.1168404216465799,43.16041626825714,36.590244996475406
20351,20351,37,0.1962704783927028,44.64225863964258,37.57878302737236
20352,20352,37,0.1904088481887988,43.25208579633684,36.217946093720855
20353,20353,37,0.1887695787249952,43.84927272198227,36.82348657646267
20354,20354,37,0.1908559216789271,43.38113513198302,36.34472873232032
20355,20355,37,0.1152011521827763,43.51107446304745,36.95410928034987
20356,20356,37,0.1260302656103277,43.08565665312418,36.444528168014635
20357,20357,37,0.123645873662977,43.15952627283889,36.536329388126525
20358,20358,37,0.1201686354064237,43.34464531983479,36.74818931714379
20359,20359,37,0.1473407686397753,43.89377249289474,37.10515715647118
20360,20360,37,0.1886702290605222,43.02246697842847,35.997189263305195
20361,20361,37,0.1389457219918111,43.34108533816179,36.60802866022644
20362,20362,37,0.1380019001793181,43.02602696010146,36.2994113856551
20363,20363,37,0.1777914408007343,43.29658556724931,36.32853816362448
20364,20364,37,0.1179332679557824,43.46568469671672,36.886805846363266
20365,20365,37,0.1506689823996191,43.61965390407389,36.80982656767405
20366,20366,37,0.1438635303832221,43.07497670810519,36.30900594008734
20367,20367,37,0.1897630753697247,43.09188662105193,36.06102974233405
20368,20368,37,0.1649256592514874,43.30815550768656,36.41213888823785
20369,20369,37,0.1755560733500929,44.669848497608314,37.71396147067441
20370,20370,37,0.1228510763471934,43.21737597502511,36.60022845945051
20371,20371,37,0.195028607586791,43.27255569095658,36.21522704667549
20372,20372,37,0.1467943454851741,43.27611567262958,36.491025531324745
20373,20373,37,0.1800764830836121,43.04204687762996,36.06171445602881
20374,20374,37,0.1966678770505946,43.66682366124111,36.60138860974604
20375,20375,37,0.1644289109291226,43.1452863461469,36.252154221055385
20376,20376,37,0.1643295612646497,43.56002421105117,36.667469956244304
20377,20377,37,0.1211124572189168,43.312605484777805,36.70882010945506
20378,20378,37,0.1536494723338076,43.44699479293348,36.61853904197278
20379,20379,37,0.19011079919538,43.027806950937965,35.995181116057154
20380,20380,37,0.1237452233274499,43.918692364605725,37.29474187676919
20381,20381,37,0.1943331599354803,43.1399463736374,36.086075852430504
20382,20382,37,0.1771456679816601,43.5155244401387,36.55097540967379
20383,20383,37,0.1565802874357596,43.70954344131709,36.8630950480546
20384,20384,37,0.167608100192257,43.372235177800526,36.46078037448665
20385,20385,37,0.1259309159458548,43.203136048333114,36.56274833410174
20386,20386,37,0.1347730360839473,44.33343022951,37.62916588858051
20387,20387,37,0.1428700337384926,43.16219625909364,36.402789203003586
20388,20388,37,0.1531030491792064,44.138521232913355,37.313455346855605
20389,20389,37,0.1941841354387709,43.08565665312418,36.032528646390226
20390,20390,37,0.1514141048831663,43.2422958467361,36.4277794357448
20391,20391,37,0.1657204565672709,43.07497670810519,36.174361642922854
20392,20392,37,0.1275701854096584,43.00110708839048,36.348566144445094
20393,20393,37,0.182162826037544,43.15062631865639,36.15920262790395
20394,20394,37,0.1687506213336959,43.046496854721205,36.12853609902355
20395,20395,37,0.1583189065640362,44.42420976217145,37.56723533754149
20396,20396,37,0.1961711287282299,43.646353766621374,36.583368587018946
20397,20397,37,0.1925945408072037,43.001997083808725,35.956822179309086
20398,20398,37,0.1765495699948224,43.126596442363656,36.16528718726591
20399,20399,37,0.1945815340966627,43.5155244401387,36.460417563692104
20400,20400,37,0.1691480199915877,43.24941581008209,36.32920169715986
20401,20401,37,0.1884218548993398,43.7762930976858,36.75228754304549
20402,20402,37,0.1554874411265572,43.33930534732529,36.499529128672435
20403,20403,37,0.1162939984919787,43.495054545518954,36.92926582807364
20404,20404,37,0.1990522689979454,43.43097487540499,36.35385945391695
20405,20405,37,0.1280669337320232,43.47725463715397,36.82105979840797
20406,20406,37,0.1388960471595747,43.131046419454904,36.398327725979826
